"variable","label","class"
"m7","Have you ever been pregnant, even if the pregnancy did not come to term?","haven_labelled"
"m8","How old were you when you got pregnant for the first time?","haven_labelled"
"m9","How many childbirths did you have?","haven_labelled"
"m10","How many children were born alive,that is, presented any signs of life at birth?","haven_labelled"
"m11","Did you have a hysterectomy (was your uterus removed)?","haven_labelled"
"m11_1","At what age was your uterus removed?","haven_labelled"
"m12","According to the doctor what was the reason to remove your uterus?","haven_labelled"
"m13","When was the last time you had a Pap smear to prevent cervical cancer?","haven_labelled"
"m14","When was the last time a doctor or a nurse examined your breasts?","haven_labelled"
"m15","When was the last time you had a mammogram or a breast x-ray?","haven_labelled"
"m16","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"n1","In general, how would you evaluate your health?","haven_labelled"
"n1_1","Compared to 3 YEARS AGO, would you say that your health:","haven_labelled"
"n2","In the last 30 days, for how many days would you say your physical health was no","haven_labelled"
"n3","In the last 30 days, for how many days would you say your mental health was not","haven_labelled"
"n5","Do you wear glasses or contact lenses?","haven_labelled"
"n6","How do you evaluate your far vision, even when using glasses or contact lenses?","haven_labelled"
"n7","How do you evaluate your near vision, even when using glasses or contact lenses?","haven_labelled"
"n8","When was the last time you had an eye exam with an ophthalmologist (eye doctor)?","haven_labelled"
"n9","Glaucoma or suspicion of glaucoma","haven_labelled"
"n10","Diabetic retinopathy (diabetic eye)","haven_labelled"
"n11","Macular degeneration","haven_labelled"
"n12","Cataracts in one or both eyes","haven_labelled"
"n14","Have you had cataract surgery?","haven_labelled"
"n14_1","Your surgery was at:","haven_labelled"
"n15","Do you use a hearing device?","haven_labelled"
"n16","How do you evaluate your hearing (even when using a hearing device)?","haven_labelled"
"n17","Do you find it difficult to follow a conversation if there is a background noise","haven_labelled"
"n18","In the last 12 months have you had a fall?","haven_labelled"
"n19","How many falls have you had in the last 12 months?","haven_labelled"
"n20","Where was your last fall?","haven_labelled"
"n21","In any fall,in the last 12 months,have you fractured (broken) your hip or femur?","haven_labelled"
"n22","Was surgery necessary due to a hip or a femur fracture?","haven_labelled"
"n23","In any fall, in the last 12 months, have you fractured (broken) your wrist or fo","haven_labelled"
"n24","Have you had a surgery to replace the hip joint (femur head) with prosthesis?","haven_labelled"
"n25_1","Was your hip joint replacement due to arthritis?","haven_labelled"
